ID,ALCANCE,CATEGORÍA,SUBCATEGORÍA,FUENTE,UNIDAD - FUENTE,CANTIDAD - FUENTE,EMISIÓN GEI (tCO2e),EMISIÓN GEI (% del total),SEDE,LINK RESPALDO INFORMACIÓN
HDC0001,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,Caldera - Gas licuado de petróleo,metros cúbicos,101.84,161.2856,1.47%,TALCA,cifras energía y comunidad.xlsx
HDC0002,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,Caldera - Gas licuado de petróleo,metros cúbicos,38.01,60.1923,0.55%,CURICÓ,cifras energía y comunidad.xlsx
HDC0003,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Estacionaria,Caldera - Gas licuado de petróleo,metros cúbicos,7.42,11.7559,0.11%,COLCHAGUA,cifras energía y comunidad.xlsx
HDC0004,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Agregados (Escombros),toneladas,42.5,0.0419,0.00%,TALCA,Estimación Residuos UTAL 2022
HDC0005,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Plásticos: Promedio de plásticos,toneladas,1.72,0.0365,0.00%,CURICÓ,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0006,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Plásticos: Promedio de plásticos,toneladas,0.48,0.0101,0.00%,SANTIAGO,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0007,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Plásticos: Promedio de plásticos,toneladas,0.61,0.013,0.00%,COLCHAGUA,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0008,OTRAS EMISIONES INDIRECTAS DE GEI,Productos que utiliza la organización,Tratamiento y/o disposición de residuos,Reciclaje - Plásticos: Promedio de plásticos,toneladas,0.54,0.0115,0.00%,LINARES,"consumos energ¡a, agua y residuos reciclaje.docx"
HDC0009,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Móvil,Medio terrestre - Petróleo 2 (Diesel),metros cúbicos,0.44,1.2112,0.01%,LINARES,cifras energía y comunidad.xlsx
HDC0010,EMISIONES DIRECTAS,Emisiones directas de GEI,Combustión Móvil,Medio terrestre - Petróleo 2 (Diesel),metros cúbicos,2.23,6.116,0.06%,CURICÓ,cifras energía y comunidad.xlsx
